reg.nr,Dy0sti,Myntort och årtal,AD,gram,kondition,"""fynd""","""fynd""",Hegira Date 1,X,Date Range 1,Date range 2,2 Date Range 1,2 Date Range 2
154,Ab1,0,0,0,fc 7n.,1:x,0,0,0,0,0,0,0
200,Ab1,0,0,0,f .,1:x,0,0,0,0,0,0,0
146,Ab1,0,0,0,f 1n,1:x,0,0,0,0,0,0,0
101,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
138,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
202,Ab1,0,0,0,f 2n,1:x,0,0,0,0,0,0,0
130,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
148,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
158,Ab1,0,0,0,f .,1:x,0,0,0,0,0,0,0
142,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
134,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
166,Ab1,0,0,0,f 9n,1:x,0,0,0,0,0,0,0
150,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
151,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
152,Ab1,0,0,0,f 3n,1:x,0,0,0,0,0,0,0
206,Ab1,0,0,0,f 9n,1:x,0,0,0,0,0,0,0
190,Ab1,0,0,0,f 2n,1:x,0,0,0,0,0,0,0
208,Ab1,0,0,0,f 12n.,1:x,0,0,0,0,0,0,0
0,Ab1,[al`Abba]siyya [1]65,0,1.26,f,1:NVlag4,0,165,0,781,782,0,0
0,Ab1,al`Abbasiyya 166,0,2.53,0,1:x,0,166,0,782,783,0,0
0,Ab1,Arminiya [142?52],0,1.22,f 1n,1:NVlag4,0,142,152,759,760,0,0
0,Ab1,Arminiya [142?52],0,0.57,f,1:NVlag4,0,142,152,759,760,0,0
0,Ab1,[Arminiya] 152,0,1.92,f18n,1:x,0,152,0,769,770,0,0
0,Ab2,Arminiya 2[52],0,1.96,f,1:oreg.,0,252,0,866,867,0,0
0,Ab2,[Arminiya] 252,0,1.9,f,1:x,0,252,0,866,867,0,0
0,Ab2,[Arminiya] 252,0,1.42,f 2n,1:x,0,252,0,866,867,0,0
0,Ab2,Arminiya [252],0,1.15,f,1:oreg.,0,252,0,866,867,0,0
0,Ab2,[Arminiya] 25[2],0,0.79,f,1:oreg.,0,252,0,866,867,0,0
0,Ab2,[Arminiya] [2]52,0,0.76,f,0,173,252,0,866,867,0,0
0,Ab2,[Arminiya] [252],0,0.58,f,1:x,0,252,0,866,867,0,0
0,Ab2,[Arminiya] [2]5[2],0,0.51,f,1:x,0,252,0,866,867,0,0
0,Ab1,Arran [189],0,1.54,f 2n,1:NVlag4,0,189,0,804,805,0,0
0,Ab1,[Arran] 209,0,1.61,f,0,181,209,0,824,825,0,0
0,Ab1,[Madi0t Arran] 2[10],0,1.64,f 1n,0,0,210,0,825,826,0,0
0,Ab1,[Madi0t Bal]kh 188,0,1.02,f 5n,1:oreg.,0,188,0,803,804,0,0
0,Ab1,M Balkh 193,0,2.83,1n,0,173,193,0,808,809,0,0
0,Ab1,alBasra 140,0,1.63,f,1:NVlag4,0,140,0,757,758,0,0
0,Ab1,alBasra 144,0,1.48,f 7n,0,181,144,0,761,762,0,0
0,Ab1,[alBa]sra 144,0,1.33,f 17n,0,181,144,0,761,762,0,0
0,Ab1,alBasra 146,0,1.65,f 1n,1:reg.,0,146,0,763,764,0,0
0,Ab1,alBasra 148,0,2.8,8n,1:x,0,148,0,765,766,0,0
0,Ab1,alBasra 161,0,2.79,1n,1:NVlag4,0,161,0,777,778,0,0
0,Ab2,alBas(ra) [2]48,0,1.67,f,1:oreg.,0,248,0,862,863,0,0
0,Ab1,Madi0t Bukhara [193],0,1.22,f,1:x,0,193,0,808,809,0,0
0,Ab1,Dimashq 200,0,2.38,e,1:oreg.,0,200,0,815,816,0,0
0,Ab1,Dimashq [21]2,0,0.8,f,1:x,0,212,0,827,828,0,0
0,Ab1,Dimashq [21]4,0,1.67,f 2n,1:oreg.,0,214,0,829,830,0,0
0,Ab1,F[aris] [205?10] {209?},0,1.42,f 1n,1:oreg.,0,205,210,820,821,0,0
0,Ab2,Faris [233?35],0,0.61,f,0,181,233,235,847,848,0,0
0,Ab2,Faris 239,0,2.88,1n,1:oreg.,0,239,0,853,854,0,0
0,Ab2,Faris 249,0,2.31,.,1:oreg.,0,249,0,863,864,0,0
0,Ab1,[Harat] [206],0,0.67,f,1:x,0,206,0,821,822,0,0
0,Ab1,Haru0bad [1]69,0,1.55,f,1:x,0,169,0,785,786,0,0
0,Ab1,alHaruniyya [170],0,0.82,f,1:x,0,170,0,786,787,0,0
0,Ab1,[Ifriqiya] 17[6],0,1.26,f,1:oreg.,0,176,0,792,793,0,0
0,Ab1,[Madi0t Isbahan] 199,0,1.23,f 7n,0,181,199,0,814,815,0,0
